refl_b01,refl_b02,refl_b03,refl_b04,refl_b05,refl_b07,proj_x,proj_y,day,SiO3
1895,1251,1737,1872,543,280,736685.4179,3314205.295,113,1.049
1621,1066,1435,1665,757,511,736685.4179,3314205.295,121,1.209
1587,1141,1807,1864,1211,1024,736685.4179,3314205.295,152,1.102
1121,1012,1411,1324,711,485,768193.4945,3402138.581,168,0.945
913,203,840,1035,114,63,736685.4179,3314205.295,200,1.35
1267,597,979,1325,456,390,736685.4179,3314205.295,228,1.238
997,847,816,1092,310,138,736685.4179,3314205.295,250,1.258
1147,438,596,1026,167,68,736685.4179,3314205.295,102,1.108
1292,1072,1348,1634,1033,933,768193.4945,3402138.581,110,0.777
1266,562,942,1214,260,147,724040.5281,3346205.396,113,1.375
1490,923,1189,1448,468,274,736685.4179,3314205.295,115,1.083
1033,1001,992,1174,508,250,736685.4179,3314205.295,127,0.749
1315,663,1180,1364,297,123,736685.4179,3314205.295,228,1.38
1616,846,1263,1546,389,336,736685.4179,3314205.295,295,1.351
1355,811,1193,1423,343,171,736685.4179,3314205.295,247,1.304
1103,513,866,1169,276,160,736685.4179,3314205.295,269,1.421
1806,966,1768,1894,502,267,741438.4066,3314307.797,113,1.073
97,128,58,504,809,1860,741438.4066,3314307.797,139,1.099
1305,1143,1623,1555,952,743,767853.4267,3405004.928,168,0.873
930,892,1139,1247,1941,1807,767853.4267,3405004.928,201,0.852
21,12,165,212,282,187,767853.4267,3405004.928,218,0.934
1087,552,1003,1316,470,414,741438.4066,3314307.797,228,1.11
162,180,259,544,632,409,767853.4267,3405004.928,282,0.668
952,248,602,1008,107,54,741438.4066,3314307.797,102,1
1487,1097,1350,1690,990,886,767853.4267,3405004.928,110,0.75
1131,435,1057,1293,272,161,724317.2997,3340208.79,113,1.887
968,494,1088,1282,346,228,741438.4066,3314307.797,115,0.936
1856,1368,1579,1845,951,422,724317.2997,3340208.79,125,0.824
1057,688,1290,1427,556,250,741438.4066,3314307.797,127,0.754
1182,508,1271,1393,247,107,741438.4066,3314307.797,228,1.426
947,355,966,1179,222,107,741438.4066,3314307.797,248,1.376
512,242,796,910,162,126,741438.4066,3314307.797,295,1.426
403,213,544,703,174,114,741438.4066,3314307.797,205,1.323
1080,403,1158,1332,201,80,741438.4066,3314307.797,247,1.363
161,34,300,486,190,271,741438.4066,3314307.797,269,1.344
896,650,1418,1425,1634,1145,741438.4066,3314307.797,283,1.544
1766,927,1769,1890,493,256,743105.139,3310582.736,113,1.025
841,475,918,1173,408,365,743105.139,3310582.736,228,1.194
478,153,757,860,91,40,743105.139,3310582.736,250,1.209
1156,533,581,1038,610,538,732167.2557,3346496.632,251,1.3
