station_id,lng,lat,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1001A,116.366,39.8673,20170601,54.73389356,2201,6867,1650847.552,1370268.366,46,0.458176732,68.18715668,284.5610657,100809.2734,0.001006295,134.995636,-6.92884e-06,46.31597519,0.425366431,0.170262426,0.870966613,2401
1002A,116.17,40.2865,20170601,48.08073654,2134,6835,1625003.973,1416959.964,420,0.70919323,162.6338501,282.9076843,97125.08594,0.001043523,157.7759705,-6.23878e-06,53.60550308,0.211734444,-0.676848233,0.712079525,5255
1003A,116.434,39.9522,20170601,54.89859155,2188,6877,1653776.71,1381524.305,48,0.27549094,75.46051788,284.4922485,100830.9688,0.001002024,129.9712982,-6.67928e-06,45.53746414,0.266665608,0.06917157,0.87581104,2609
1004A,116.434,39.8745,20170601,52.26638177,2200,6877,1655828.045,1372270.098,45,0.376301795,52.71779251,284.6362,100936.8047,0.001010466,138.7939606,-7.13398e-06,45.38791275,0.299402714,0.227949664,0.869679332,2420
1005A,116.473,39.9716,20170601,53.18907563,2185,6884,1656224.681,1384491.842,40,0.186894715,64.81201172,284.5065613,100880.1797,0.00101927,130.5205994,-6.75659e-06,44.79011917,0.169121414,0.079546101,0.873232245,3296
1006A,116.361,39.9425,20170601,53.87780899,2189,6866,1648488.68,1379142.177,55,0.415028334,89.74723053,284.4081421,100729.1953,0.000993201,126.2128677,-6.42526e-06,46.70851517,0.415024221,0.001850144,0.868779421,2062
1007A,116.315,39.9934,20170601,50.41736695,2181,6858,1643658.083,1384435.679,52,0.532783926,107.7722931,284.2668762,100620.9141,0.000982214,117.6309509,-5.88151e-06,47.84044647,0.507366955,-0.162596047,0.841994762,3138
1008A,116.72,40.1438,20170601,51.04366197,2157,6923,1670359.51,1409179.402,32,0.316639096,281.3189392,284.2118835,100659.0703,0.001038028,138.4461365,-7.09797e-06,46.57427216,-0.310483634,-0.06213069,0.804893494,3137
1009A,116.644,40.3937,20170601,46.92151163,2117,6911,1657945.02,1437655.317,169,0.415816933,170.0383453,283.5123596,98736.03125,0.001102607,154.2833405,-6.18209e-06,50.75003433,0.071967669,-0.409541667,0.71338582,5288
1010A,116.23,40.1952,20170601,48.23876404,2149,6845,1631926.783,1407069.146,57,0.647320211,147.3508606,284.052002,100057.2891,0.001045819,141.0935364,-6.08105e-06,51.74059296,0.349266022,-0.545010746,0.785904706,3249
1011A,116.407,40.0031,20170601,51.25069638,2180,6873,1650384.299,1387133.42,47,0.307361811,103.0270462,284.3847656,100716.8516,0.000990527,123.1825027,-6.28568e-06,46.14625931,0.299455166,-0.069266826,0.850230277,3301
1012A,116.225,39.9279,20170601,56.0694051,2192,6844,1638539.229,1375127.894,66,0.690516233,95.00730133,283.905365,99824.0,0.001066209,121.4498749,-6.00324e-06,49.16394043,0.687883854,-0.060236473,0.826856971,3691
1015A,117.145,39.1654,20170601,50.42458101,2314,6991,1729155.563,1300184.178,6,1.027325869,188.9700317,285.4299316,101665.4531,0.000777989,198.2338409,-1.75793e-05,49.15804672,-0.160173729,1.014762402,0.864020705,2398
1017A,117.237,39.1082,20170601,53.32777778,2323,7006,1737780.138,1295015.283,6,1.036170483,190.2543945,285.3269653,101627.0625,0.000786181,201.5840607,-2.18549e-05,50.02039719,-0.184452325,1.019620776,0.854233265,1963
