id,u,v,x1,x2,y
0,0,0,0.28140219,0.425025438,2.771897876
1,0.5,0,0.971844902,0.876178178,4.139923938
2,1,0,0.543419374,0.743107327,2.380696706
3,1.5,0,0.343183774,0.534696195,2.573292847
4,2,0,0.493780503,0.453839148,3.694790062
5,2.5,0,0.261281272,0.460323871,4.883756491
6,3,0,0.337743839,0.024596739,3.671681467
7,3.5,0,0.116466208,0.138029377,2.402119533
8,4,0,0.484274955,0.804879411,3.032872515
9,4.5,0,0.49179653,0.551884663,3.29288893
10,5,0,0.158573743,0.004707129,2.395205408
11,5.5,0,0.51264138,0.636406008,4.761096603
12,6,0,0.09464962,0.069286299,3.230851329
13,6.5,0,0.519649338,0.842263952,5.014950578
14,7,0,0.00164651,0.197085206,1.941258446
15,7.5,0,0.093244802,0.287649939,1.547305406
16,8,0,0.221847845,0.477137789,2.097505046
17,8.5,0,0.622468486,0.963786565,4.309616168
18,9,0,0.807006808,0.343754085,5.43848869
19,9.5,0,0.070051502,0.62256975,3.84278823
20,10,0,0.313624141,0.506782648,3.81439522
21,10.5,0,0.586382352,0.878116872,3.97206102
22,11,0,0.922903212,0.747859712,3.707304522
23,11.5,0,0.034728902,0.717285348,2.243850842
24,12,0,0.600872876,0.517128807,5.037347656
25,0,0.5,0.588924564,0.723428496,3.966657991
26,0.5,0.5,0.87194326,0.967180848,4.160528751
27,1,0.5,0.628493967,0.985926772,1.263689754
28,1.5,0.5,0.324371174,0.222540034,3.013343049
29,2,0.5,0.519557884,0.821976754,3.708772987
30,2.5,0.5,0.146349705,0.170181485,3.58013947
31,3,0.5,0.427315786,0.761996763,4.590231668
32,3.5,0.5,0.097990846,0.49407321,2.551734501
33,4,0.5,0.448181078,0.156291959,2.105744009
34,4.5,0.5,0.885937482,0.882882696,4.267577186
35,5,0.5,0.70910089,0.01979666,3.384178166
36,5.5,0.5,0.371344197,0.92701883,4.215248931
37,6,0.5,0.746650553,0.423602514,5.288546427
38,6.5,0.5,0.10724654,0.374801858,3.248469799
39,7,0.5,0.423328103,0.947772505,3.219772444
40,7.5,0.5,0.519323638,0.975321712,4.569771713
41,8,0.5,0.721994625,0.171399253,3.430446973
42,8.5,0.5,0.663214439,0.417521544,3.286866614
43,9,0.5,0.624251077,0.413088773,4.108534776
44,9.5,0.5,0.160436005,0.481541628,4.176465345
45,10,0.5,0.313849259,0.964511042,4.707936655
46,10.5,0.5,0.5329846,0.526308721,4.605119664
47,11,0.5,0.753043277,0.527658993,3.435935716
48,11.5,0.5,0.153972181,0.73403172,2.633669867
49,12,0.5,0.596576767,0.320339067,3.133572478
50,0,1,0.502096095,0.236241878,2.009870197
51,0.5,1,0.391423412,0.325037978,2.510021296
52,1,1,0.898545678,0.6788159,4.86769879
53,1.5,1,0.668656298,0.983747857,5.218774266
54,2,1,0.714279729,0.813475001,4.841170741
55,2.5,1,0.634472109,0.4084114,4.934940934
56,3,1,0.58418948,0.613678733,3.979545435
57,3.5,1,0.237213832,0.132996281,1.512799148
58,4,1,0.17985506,0.124857102,1.415011991
59,4.5,1,0.275426642,0.758803472,3.091734282
60,5,1,0.897472623,0.521162701,5.017116539
61,5.5,1,0.480198559,0.163268172,3.897005313
62,6,1,0.734112813,0.928362868,7.737983894
63,6.5,1,0.321252053,0.611731619,4.7453646
64,7,1,0.678349457,0.24616436,3.850579547
65,7.5,1,0.822894774,0.352450562,4.387937008
66,8,1,0.60321376,0.685907051,3.644501274
67,8.5,1,0.912164764,0.763242059,5.239021929
68,9,1,0,0.927662986,3.89677691
69,9.5,1,0.754118409,0.526970437,5.492851736
70,10,1,0.465516068,0.009470654,3.625271576
71,10.5,1,0.309253284,0.145074918,3.668566935
72,11,1,0.2665233,0.700544946,4.025701211
73,11.5,1,0.484877249,0.877683964,3.37908595
74,12,1,0.683095588,0.163728827,3.810446901
75,0,1.5,0.395675948,0.218957204,2.629540695
