监测点编码,监测点名称,城市,经度,纬度,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi,id
1907A,南充炼油厂,南充,106.1031,30.8217,20170601,47.4255618,3649,5224,986003.8426,153573.1651,300,0.888030589,308.4597168,290.8873291,97559.91406,0.001398045,150.5676727,-1.21491e-05,75.05997467,-0.695405066,-0.552277148,0.876248121,2900,712
1419A,南坪,重庆,106.54,29.5186,20170601,41.60526316,3857,5294,1042786.306,4137.579975,202,0.68494314,311.4235229,291.7192078,97549.84375,0.00142687,130.9321442,-1.09546e-05,73.22263336,-0.513628006,-0.453137249,0.958242118,1737,353
2307A,监测大楼,六安,116.508,31.7371,20170601,44.06005587,3502,6889,1875096.51,413131.9583,64,0.899863958,248.1708069,288.4790649,101085.0625,0.001928179,177.0330048,-1.21031e-05,68.50600433,-0.835328877,0.334635347,0.79020977,2903,963
1814A,豫西宾馆,洛阳,112.4664,34.6869,20170601,59.93661972,3030,6243,1464253.805,691868.0353,147,0.47071591,212.0818176,287.711731,99078.67188,0.001022207,168.2483826,-1.03006e-05,59.38035965,-0.250004649,0.398837239,0.789968073,2332,633
1901A,东山公园,德阳,104.4219,31.1208,20170601,42.56741573,3601,4955,833789.715,173481.7588,507,0.543905258,176.7321777,290.3390808,94986.32813,0.001026293,150.148819,-1.05076e-05,66.12191772,0.031054454,-0.543018043,0.766114652,3740,706
2402A,广电局,漯河,114.0322,33.5653,20170601,55.8189415,3210,6493,1619942.621,583682.9574,63,0.603703201,230.3164673,288.1911316,100989.7109,0.001529784,202.7234955,-1.26393e-05,62.502491,-0.464589745,0.385504782,0.872941017,2401,1049
1170A,城中,南通,120.87,32.02,20170601,34.07799443,3457,7587,2238511.318,537323.846,7,1.116045117,262.2901611,288.3232422,101695.7031,0.002089722,313.9808044,-2.86828e-05,72.97457886,-1.105949879,0.149771631,0.694758892,2304,151
2644A,汉滨区检察院,安康,109.0072,32.6975,20170601,42.6755618,3348,5689,1210469.108,408518.0412,276,0.63067764,299.1253357,289.3021851,96461.11719,0.001694863,148.0795441,-5.47218e-06,68.78479767,-0.550951779,-0.306930691,0.625590801,3428,1261
1609A,新区,葫芦岛,120.8478,40.715,20170601,32.58615819,2066,7584,1962917.892,1553225.327,24,0.922271192,60.66659927,282.9402771,100838.9297,0.000596107,400.8572083,-6.53703e-05,54.12990952,0.804007053,0.451837182,0.6214481,3128,457
1213A,楚州区监测站,淮安,119.135,33.5039,20170601,45.50277008,3219,7310,2048245.053,671745.646,7,1.03248632,255.4097748,287.4474487,101651.3594,0.0017421,242.3017426,-1.82577e-05,66.64586639,-0.999180734,0.260126501,0.747934103,3144,182
1242A,瓯海,温州,120.634,28.0089,20170601,34.10277778,4099,7549,2341518.945,71385.3921,22,0.551493347,327.9435425,290.423584,100212.3281,0.002784423,256.3656006,-3.21053e-05,81.16259003,-0.292743325,-0.467382342,0.546185672,2428,206
2261A,新建　,七台河,130.8625,45.8194,20170601,28.55477528,1249,9186,2471285.721,2374560.904,185,1.229182959,71.31165314,274.5661011,98913.14844,0.000944573,281.9474792,-6.10919e-06,70.0810318,1.164360404,0.39389804,0.375061423,3027,922
2449A,咸安区政府,咸宁,114.2894,29.8539,20170601,36.90972222,3803,6534,1728092.585,152809.1,48,0.823998511,279.9075928,290.0158997,100697.7813,0.002568891,178.2748413,-1.78984e-05,72.78683472,-0.811717153,-0.141735032,0.799533367,4608,1085
2453A,市立交桥水厂,随州,113.3983,31.7308,20170601,48.91364903,3503,6392,1607578.223,357279.6377,87,0.765293658,274.4717712,288.379364,100175.9844,0.001838981,210.3170013,-1.43328e-05,71.00125122,-0.762966931,-0.059631199,0.804376483,3482,1089
2354A,第二水厂,新余,114.9289,27.8328,20170601,48.87916667,4127,6637,1832791.062,-70053.83303,51,0.799427629,306.5995789,291.680603,100770.7266,0.002986033,228.5323486,-1.52127e-05,71.63578796,-0.641829133,-0.476592034,0.669696867,2544,1004
2673A,共和县恰卜恰镇,海南州,100.6188,36.2866,20170601,22.37640449,2774,4347,462219.4506,767961.5441,2871,0.637171507,294.7624512,278.3710022,71072.88281,0.000794096,297.9203491,-2.05624e-05,46.41195679,-0.578600705,-0.266849637,0.152113423,1983,1287
1010A,昌平镇,北京,116.23,40.1952,20170601,48.23876404,2149,6845,1631926.783,1407069.146,57,0.647320211,147.3508606,284.052002,100057.2891,0.001045819,141.0935364,-6.08105e-06,51.74059296,0.349266022,-0.545010746,0.785904706,3249,9
2503A,市农科院,钦州,108.6553,21.9508,20170601,31.75706215,5068,5633,1355284.16,-847078.7388,12,0.299408495,304.2290039,294.9709778,100761.1172,0.002850934,280.3829346,-2.62083e-05,77.93145752,-0.247560546,-0.168401971,0.508985996,3794,1136
2915A,职业中学,巴中,106.7619444,31.85805556,20170601,21.37042254,3483,5330,1029462.664,283241.2533,384,0.882093132,326.7931213,289.4392395,95241.83594,0.001962412,118.4081955,-8.05066e-06,72.68408966,-0.483145982,-0.738009632,0.695916176,3499,1357
2262A,葫头沟,七台河,130.9467,45.8309,20170601,29.78267045,1247,9199,2476322.779,2377997.411,294,1.201147079,74.0170517,274.6150818,98922.9375,0.000931429,283.6371765,-6.17343e-06,70.24242401,1.154702544,0.33078143,0.365109205,4099,923
1737A,南机场,临汾,111.4917,36.0417,20170601,72.86685552,2813,6087,1355986.122,839151.8689,450,0.449992746,81.76942444,285.7096863,94505.49219,0.000878388,134.7795715,-6.38288e-06,53.3822403,0.445355088,0.06443841,0.559331894,3125,560
1949A,惠农南大街,石嘴山,106.7704,39.2282,20170601,42.43454039,2304,5331,923769.3521,1167549.166,1094,0.267566115,109.431015,284.7584229,88080.60938,0.000295676,343.7106323,-7.19597e-06,34.00588608,0.252331287,-0.088997483,0.357204139,1771,752
1978A,莱州外经委,莱州,119.959,37.18,20170601,36.77761628,2631,7441,2005083.073,1119093.992,58,1.18651855,221.6113129,285.6207581,101059.1016,0.000754719,331.9237366,-2.90607e-05,61.2922821,-0.787916958,0.887137592,0.678234279,2306,778
1470A,阎良区,西安,109.2,34.6575,20170601,67.91428571,3035,5720,1193064.872,644194.9663,385,0.998359978,329.9326172,288.1097107,96786.19531,0.000930122,133.8486176,-8.47837e-06,57.2674942,-0.500263512,-0.863978624,0.616701365,3677,398
1328A,武昌紫阳,武汉,114.3006,30.5494,20170601,44.58333333,3692,6536,1712938.32,234138.7098,38,1.120484591,301.2478027,290.1384888,101301.0625,0.002528618,213.7231903,-3.53923e-05,68.71790314,-0.957974017,-0.581181109,0.802339196,1716,275
2336A,龙岩市监测站,龙岩,117.0216,25.1035,20170601,24.6232493,4564,6971,2093287.343,-340977.7941,338,0.398720503,260.2210083,291.0870361,94684.64844,0.002532167,110.1729736,-7.23627e-06,78.83322144,-0.392924398,0.067738131,0.448465586,3799,986
2303A,开发区,阜阳,115.8556,32.8603,20170601,54.9719888,3322,6785,1790748.555,532383.4222,29,0.887989879,254.5608826,288.2521973,101337.125,0.002175472,197.2092438,-1.31597e-05,64.86552429,-0.855936646,0.236428618,0.839790285,2629,959
1308A,李沧区子站,青岛,120.3905,36.1851,20170601,42.19219653,2790,7510,2069799.107,1011370.883,28,0.7155146,189.3818665,285.9462585,101179.6328,0.000868624,359.5069885,-5.9206e-05,66.18849182,-0.116635114,0.7059443,0.650496602,2283,260
1036A,供销社,唐山,118.1662,39.6308,20170601,47.58448753,2239,7155,1794193.98,1373720.072,30,0.678802371,193.2322235,284.0889587,101426.6172,0.000736898,184.281189,-8.81654e-06,51.74806595,-0.155372381,0.660781443,0.808539331,2423,26
1613A,万安,泉州,118.6663,24.9424,20170601,26.91374269,4589,7235,2251176.99,-322884.4372,5,1.672789454,322.2612305,293.5256653,100951.1875,0.002228093,415.8861389,-2.98341e-05,79.07250977,-1.023948312,-1.322782874,0.38532877,2142,461
1124A,净月潭,长春,125.454,43.7878,20170601,22.37073864,1574,8321,2187664.251,2011264.353,242,1.296965241,44.60767365,277.5579529,98681.42969,0.001147033,263.9197083,-1.01526e-05,60.41678619,0.910770535,0.92337203,0.468828708,3106,106
2447A,森林公园,咸宁,114.3036,29.8181,20170601,41.71910112,3809,6537,1730178.405,148888.1806,65,0.790231884,275.6500854,289.8298645,100272.7188,0.0026672,174.8209839,-1.65275e-05,73.55194855,-0.786396563,-0.077761799,0.781116128,4021,1083
1875A,古亭山,柳州,109.4839,24.3158,20170601,34.85854342,4690,5765,1396816.058,-565057.214,93,0.481155843,341.8652954,293.6621704,99716.19531,0.00354164,265.3618164,-2.06137e-05,75.41307831,-0.149798959,-0.457243055,0.570562541,2672,685
2835A,四十中小,攀枝花,101.7227,26.567,20170601,25.5362117,4329,4524,632213.0532,-383772.92,1266,0.261160403,231.4132843,292.8708801,85006.25781,0.002208773,179.5517731,-4.19465e-06,60.23318863,-0.204135671,0.162890717,0.300056636,3692,1325
1158A,奥体中心,南京,118.737,32.0092,20170601,46.43521127,3459,7246,2058024.869,489435.964,8,1.132401824,264.6637268,288.2364197,101423.7813,0.002364973,240.427475,-2.06769e-05,68.27670288,-1.127489448,0.105363622,0.783305407,2719,139
1324A,岗李水库,郑州,113.6113,34.9162,20170601,59.82294618,2993,6426,1553909.984,736654.4282,93,0.781253636,226.5361328,288.2816772,100644.0781,0.000916769,202.9169159,-1.51515e-05,56.23620605,-0.567027569,0.537435532,0.823637009,4169,271
1321A,四十七中,郑州,113.734,34.719,20170601,62.79378531,3025,6445,1568539.824,715237.4325,99,0.602926195,204.8696747,288.1617737,100291.4531,0.001057655,222.3699799,-1.23789e-05,58.76182556,-0.253556967,0.547018111,0.840416908,2582,268
1847A,南湖风景区,岳阳,113.1094,29.3578,20170601,52.86376404,3883,6345,1634409.087,74799.81927,36,1.037202001,311.8988647,290.5915833,101126.9531,0.00242957,255.5616302,-3.24913e-05,71.20270538,-0.772061884,-0.692609847,0.81054759,2291,663
1713A,市监测站,云浮,112.0369,22.9394,20170601,34.66527778,4910,6174,1668235.942,-682578.3419,84,0.861535609,258.6884766,293.9867859,98492.67969,0.003142678,207.4624939,-1.14652e-05,78.7071228,-0.844793677,0.169018582,0.54842627,3794,541
