dem,w10,d10,t2m,aod_sat,tp,PM2_5
0.06740332,0.26770636,0.8577575,0.7701137,0.8088826,0.33686328,47.42556
0.045745857,0.20347516,0.8660003,0.8002031,0.88976556,0.3440071,41.605263
0.015248619,0.27144894,0.69008607,0.68300605,0.7240101,0.46824864,44.060055
0.033591162,0.13572074,0.58971775,0.65525126,0.7237717,0.24371776,59.93662
0.11314917,0.15886861,0.4914057,0.750283,0.7002415,0.24473044,42.567417
0.015027625,0.17778112,0.64043075,0.672591,0.8056203,0.3695127,55.818943
0.0026519338,0.33982134,0.72935385,0.67736983,0.6298526,0.5082845,34.077995
0.06209945,0.18631242,0.83179736,0.7127788,0.5616218,0.41042495,42.67556
0.00640884,0.27853575,0.16861185,0.4826648,0.55753523,0.13811561,32.58616
0.0026519338,0.3133939,0.7102186,0.64569163,0.6823073,0.4221319,45.50277
0.0059668506,0.16126852,0.9119446,0.7533395,0.48329258,0.6804552,34.10278
0.04198895,0.37560385,0.19821717,0.1797664,0.31448713,0.22447743,28.554775
0.011712708,0.2474547,0.7783503,0.7385938,0.7332074,0.62703896,36.90972
0.020331493,0.22888792,0.7632325,0.67939925,0.73798484,0.44614235,48.91365
0.012375691,0.23968357,0.85258424,0.7988069,0.6051302,0.730421,48.879166
0.63558006,0.18836625,0.81966364,0.31739208,0.094560154,0.18718405,22.376404
0.013701658,0.19157602,0.40969235,0.5228765,0.7197634,0.24956965,48.238766
0.0037569061,0.081540726,0.8459914,0.91782165,0.44659698,0.6969389,31.757063
0.085966855,0.2658285,0.90874517,0.717736,0.6309942,0.47673273,21.370422
0.06607735,0.36673683,0.20574124,0.18153833,0.30466977,0.22121987,29.782671
0.100552484,0.12916656,0.22730161,0.5828359,0.4962607,0.20807451,72.86685
0.24287292,0.07146982,0.3042322,0.5484283,0.2968718,0.06365852,42.43454
0.013922652,0.36211023,0.61622053,0.57961917,0.6135519,0.1774251,36.777615
0.08618785,0.30260062,0.91747653,0.669646,0.5528528,0.22089596,67.91428
0.009502762,0.34122542,0.83770025,0.74302745,0.7359752,0.617058,44.583332
0.075801104,0.1129505,0.72359926,0.7773378,0.38689667,0.6179375,24.62325
0.0075138123,0.2676935,0.70785767,0.6747997,0.7729188,0.52953625,54.97199
0.007292818,0.21314411,0.5265862,0.5913923,0.5861901,0.20565465,42.192196
0.0077348067,0.201533,0.5372945,0.52421355,0.7420913,0.17300844,47.584488
0.0022099447,0.51590484,0.8961414,0.8655441,0.32461536,0.54257756,26.913742
0.054585636,0.3970416,0.12394985,0.28798363,0.40698385,0.2746539,22.370739
0.0154696135,0.2367752,0.7665096,0.7318647,0.7150397,0.6514033,41.7191
0.02165746,0.13902262,0.9506629,0.87048125,0.5073392,0.8681195,34.858543
0.280884,0.06944387,0.64348114,0.8418596,0.2404987,0.5377894,25.536211
0.0028729283,0.34499452,0.73595506,0.6742294,0.7171993,0.57650113,46.43521
0.02165746,0.23393562,0.62991714,0.6758659,0.7569844,0.21758662,59.822945
0.022983426,0.17753537,0.5696598,0.67152953,0.7735369,0.252503,62.793785
0.009060773,0.31488535,0.86732227,0.75941634,0.7440724,0.59251046,52.863766
0.019668508,0.2593267,0.7193371,0.8822229,0.48550284,0.769243,34.66528
0.014364641,0.27711526,0.9860117,0.77764964,0.71079046,0.65286255,42.593315
0.026077349,0.12800758,0.81561506,0.8858888,0.48231685,0.801375,38.185715
0.32486188,0.41675362,0.17933682,0.39478943,0.3347906,0.19138758,28.759155
0.029392267,0.23460977,0.9390597,0.7511642,0.71213204,0.5817743,35.395775
0.24265192,0.38571516,0.65648174,0.64982295,0.5331725,0.5070054,35.31601
0.007955802,0.31800053,0.8386049,0.7385576,0.7363429,0.6301188,57.25493
0.037127074,0.3838418,0.06747049,0.32770798,0.42599192,0.26854828,44.177464
0.0640884,0.2702545,0.85921645,0.77025104,0.81272644,0.3366415,49.45391
0.19314916,0.36778015,0.7520327,0.67378974,0.64800864,0.4624895,30.927576
0.0066298344,0.3441012,0.734265,0.670532,0.7134899,0.5892844,37.081898
