weight_dem,weight_w10,weight_d10,weight_t2m,weight_aod_sat,weight_tp,bias,Pred_PM2_5,id
-7.893964,-1.5560299,-0.5309546,-5.989801,63.536144,-37.46155,15.126011,28.96801,112
-19.873028,1.5587987,-0.51591796,29.78885,1.0220867,-31.386993,45.58493,55.3042,1050
-7.9445634,-1.5007212,-0.5334957,-6.0014176,63.481506,-37.422253,15.131832,28.427177,115
-21.818869,-0.1452547,-0.44824722,45.56245,26.874111,-31.19652,28.383217,60.597885,725
-9.345626,8.266173,-0.22179101,11.070235,47.763462,-21.556665,15.539631,45.93884,969
-10.107663,0.41413352,-0.3687704,24.360163,2.634146,-0.13673288,23.74162,43.892773,285
-6.6064796,7.06591,-0.085536085,-2.364032,68.84145,2.2958822,-5.310403,41.31898,790
-5.20069,13.620561,-0.04796063,32.926258,12.79991,-7.7379284,23.568703,28.980247,1284
-12.748916,6.907181,-0.288765,10.711977,35.94152,-16.657797,25.083477,51.658073,934
-8.685465,6.8393607,-0.25839257,26.153261,19.00273,-5.909954,13.242105,44.70144,706
-4.877623,6.2528286,-0.10414867,5.0773315,55.508373,-4.3396378,1.8975458,35.909313,812
-15.271748,4.385929,-0.39998814,24.181862,16.410288,-21.758255,30.58556,48.12308,278
-17.142797,-10.156882,-0.50974107,33.25851,7.950881,-13.301469,45.83773,66.342896,1332
-5.338393,5.8591666,-0.10121251,1.688684,56.47731,9.659548,-3.6557875,35.479034,201
-8.078834,6.30976,-0.26750508,24.047203,23.165255,-4.771285,12.579114,47.542934,1346
-7.452875,-0.5697024,-0.44690382,-9.459794,64.343605,-31.216093,13.617951,22.802727,609
-6.146055,7.0776877,-0.08857603,-0.50112516,65.64019,0.8679285,-3.7795808,41.96852,786
-22.009792,-0.58366454,-0.463107,45.433723,25.219233,-31.87575,30.131586,62.76954,396
-9.762247,12.648042,-0.0777336,-25.541235,91.57273,9.447985,-11.869506,27.580921,95
-9.631236,11.055649,-0.09927358,-24.053907,83.26409,4.179853,-5.587633,30.981205,591
-7.6175966,-1.2484498,-0.3585594,20.20024,1.5560255,9.938403,19.122454,39.67002,1098
-7.170052,4.921339,-0.22125933,13.654813,37.29226,-12.679432,13.795806,36.856598,1007
-2.9936068,-4.0210295,-0.30127484,1.7887723,35.73219,17.798218,3.1973977,37.60069,682
-10.618346,0.67871505,-0.3753686,24.740211,2.9915526,-1.8236223,24.561825,44.110363,290
-2.0711966,-4.6153383,-0.23669535,0.58948636,51.96326,11.00239,0.587798,33.543575,313
-15.233457,4.094034,-0.4033393,24.70838,15.45663,-21.104853,30.556602,48.03636,277
-19.373018,-1.294418,-0.33347487,46.14387,40.891785,-21.915714,14.460499,42.21186,730
-6.4048066,3.149827,-0.28882644,17.903015,23.397776,0.66237974,10.712814,47.479088,704
2.4174418,7.1482167,0.04945098,18.78409,22.007206,9.7525,22.882019,38.906883,747
-10.056174,-2.9809544,-0.12186168,33.033096,37.501827,-2.7496088,10.999741,33.66226,75
-19.829166,1.6056316,-0.5146057,29.705954,1.1506407,-31.269255,45.45808,55.22216,1054
-8.35421,6.037323,-0.035418317,-6.8603992,76.31211,0.9950149,-6.0984883,46.58557,29
0.6404279,9.161507,-0.0017705068,20.33149,20.495453,3.6200612,25.065147,36.621326,410
-8.589614,9.971686,-0.021077063,-19.313192,97.14494,6.5544176,-16.076477,33.588886,776
-1.9877257,-4.685386,-0.23895289,0.32116574,52.363953,11.154731,0.5200293,34.564045,324
-12.869079,6.975427,-0.2915759,11.438706,35.169605,-17.080563,25.145567,51.3125,938
-6.767582,7.5913124,-0.08647943,-1.2251794,68.13933,-5.9204884,-1.0632046,44.708706,1378
9.274791,-9.161231,0.003934744,3.1167474,53.918118,8.342786,18.236841,27.754093,1275
-8.940866,7.6662626,-0.07687013,-11.56421,81.70177,-0.44448325,-3.9631326,45.498093,489
-13.366945,-6.699447,-0.35761306,26.685974,14.983789,-4.0729775,32.051624,57.402885,43
-1.6814554,-4.9155817,-0.24879974,-0.9539974,53.300827,12.325519,0.34587255,29.445839,531
-17.409155,-10.270678,-0.5170274,33.687553,7.85586,-13.891596,46.33292,65.763916,22
-3.337838,-4.359725,-0.28888386,3.798457,34.813828,16.25422,4.4426,35.13824,1147
-7.0446815,8.395519,-0.16272545,7.868193,53.024918,-19.563097,10.334143,30.759323,953
-2.2171667,-4.2121115,-0.22041464,1.2880299,52.58733,8.130628,1.2826383,29.88478,330
-7.035846,-8.856008,-0.74217266,9.36568,67.92131,-61.32932,18.7703,23.731407,923
-10.929483,8.19681,-0.3528981,-24.121141,68.97392,-7.1086936,6.734963,28.706024,889
-21.328676,-6.0011687,-0.5876248,35.843647,-6.617797,-29.927664,55.850933,58.927826,831
-9.616847,11.077195,-0.09760337,-24.034876,83.561806,4.2421713,-5.781128,30.88843,589
-16.094254,1.9847407,-0.45579615,27.736256,7.256338,-18.768217,33.28699,48.497932,662
-12.157905,1.8464302,-0.3819018,26.886734,1.8323697,-9.883496,26.000212,41.469044,1180
-19.922935,1.9099275,-0.51890165,31.024363,4.654519,-30.405125,41.495743,46.087852,1066
-5.7497067,-4.3694625,-0.4445726,-3.9672222,64.88959,-38.212208,14.654909,22.136522,603
-19.057337,0.8249027,-0.49993598,26.158787,-1.7873818,-27.856758,48.93391,55.744537,1045
-21.701971,-0.849554,-0.42385173,47.65879,31.367657,-29.824148,24.838314,52.278713,726
-7.699839,3.7271457,-0.24801515,16.61598,30.191433,-9.777303,15.614618,41.321568,1028
-2.5784762,-2.6041605,-0.19878201,3.0805027,50.796772,1.835663,3.4712539,25.250538,536
22.297846,-74.63033,-0.59644115,32.428696,165.12234,-119.17866,30.144644,45.368862,1308
-5.219448,6.289288,-0.098049276,2.5756829,58.568,1.8961927,-1.7104902,37.831512,1361
-9.328273,6.610677,-0.22979109,-21.81382,71.13055,-5.5303483,4.7671194,22.574385,854
-7.8669415,8.240545,-0.13792413,0.057446864,62.857933,-14.416363,7.7354684,47.214603,133
-11.397975,8.106547,-0.24622062,30.876463,13.238321,-12.3043165,14.221577,37.470226,1158
-1.8395429,-4.7119026,-0.26613507,-1.1773033,48.403496,15.928882,0.5736676,33.626057,1141
-10.077301,5.8733644,-0.3884462,-20.880083,67.827805,-14.283319,9.053443,28.98898,110
-9.947551,4.208507,-0.46153012,-16.469925,65.79069,-20.628681,10.832866,27.913498,597
-5.4711547,-2.4646802,-0.3045696,13.026969,20.483097,10.728432,11.590836,38.534126,1108
-1.1030953,-4.8171906,-0.25524706,-1.8437177,52.764427,14.258199,0.23168197,28.536,679
-12.434212,5.582329,-0.2876918,6.0605783,37.275223,-12.189145,26.617418,54.985245,155
-8.860899,9.478328,-0.079946645,-20.554556,81.01941,1.3075335,-4.699326,26.499136,884
-7.9416537,-1.3496215,-0.528182,-6.355296,63.486244,-36.89503,15.020078,28.241539,111
-5.590335,7.290686,-0.09454477,3.2541003,59.74522,-5.1887636,0.5176753,39.131588,191
-10.863623,6.1990566,-0.28728634,18.245436,32.076103,-18.434664,19.882105,40.793472,627
-9.782021,12.928351,-0.09334701,-25.168938,87.824196,15.019986,-12.687917,23.523613,779
-21.939243,-0.45830345,-0.47102267,44.462193,23.276709,-32.158993,31.452074,57.346718,401
-5.524573,7.209802,-0.09531676,3.4299345,59.2686,-4.9550595,0.5942593,37.956047,200
-12.761903,0.22533643,-0.31654295,10.10086,23.994968,-5.331716,32.41886,55.062477,258
-8.353189,7.3233757,-0.119513586,-5.9137306,69.58213,-7.682234,4.8366165,47.75926,183
-12.37846,4.0967975,-0.3412953,27.991543,8.695226,-13.359293,21.4581,40.38122,1357
-6.563496,-10.0662985,-0.7375717,9.85099,69.20624,-64.210365,19.404358,27.350466,918
-15.712887,2.7674747,-0.41104802,17.184216,11.364572,-17.174305,40.88814,56.00099,1057
-2.937385,-1.324632,-0.18450174,3.8306315,48.10134,-0.700582,5.5439477,26.22826,825
-17.753668,4.0798583,-0.242163,45.363586,42.52866,-21.105099,6.6757226,37.71375,1277
-6.58175,-10.058161,-0.73910713,9.917096,69.176025,-64.260124,19.41415,26.48156,920
-1.9852543,-4.688379,-0.23468015,0.3327915,52.876686,10.455852,0.6263387,32.20551,317
-6.848588,-2.5839655,-0.46888363,-6.143019,64.24895,-36.120228,14.598667,23.528437,613
-12.624474,7.061916,-0.28502187,10.813988,36.713745,-16.960499,24.452394,51.822205,937
-18.419323,2.1364791,-0.47483185,25.025518,2.0537956,-26.658636,45.639202,54.073948,1049
-5.5277343,7.13007,-0.09443483,3.0149357,59.79494,-3.9716964,0.052378375,38.83452,195
-22.314934,-1.16092,-0.48511145,44.866745,21.428505,-33.037045,33.7142,62.775776,744
-1.1724952,-0.24640468,-0.23901072,8.9846,53.126873,3.6662326,3.428661,19.226337,1234
-16.963955,1.6662701,-0.47631982,28.142368,5.7449174,-20.160847,35.02064,48.03933,656
-7.317863,-7.646854,-0.72891814,7.7857466,66.72922,-57.88454,18.129635,24.340355,904
-21.973896,-0.4693818,-0.45647162,45.690353,26.208168,-31.604027,29.272074,63.026634,400
-6.266926,-11.448545,-0.7518676,11.226109,69.91612,-67.70391,20.321709,22.215744,905
-8.380173,5.8868203,-0.039360747,-6.3903837,75.283165,1.0601802,-5.5662127,48.234684,26
