coef_dem,coef_w10,coef_d10,coef_t2m,coef_aod_sat,coef_tp,bias,Pred_PM2_5,id,dataset_belong,denormalized_pred_result
-45.557182,-0.77571523,-0.14979813,27.54059,31.191809,-12.29156,13.318878,45.728504,133,train,45.728504
-34.70167,-1.025062,-0.14095856,13.398714,64.74491,0.23627783,-0.44300035,50.38317,762,train,50.38317
-33.250767,-9.450571,-0.08537923,9.757741,28.645323,1.3964202,12.682632,25.448702,242,train,25.448702
-52.963104,28.79686,-0.07613623,23.482132,-15.975051,-15.203238,41.26219,38.852043,850,train,38.852043
-34.232338,-10.483487,-0.09426217,7.0470324,38.991272,-1.0422157,12.211046,28.96801,1388,train,28.96801
-85.78426,24.032263,-0.16267717,24.67793,-19.195374,3.1290612,30.91425,42.26717,286,train,42.26717
-30.830606,-3.9853792,-0.12094004,8.224839,45.025436,7.2071605,7.220196,47.33326,174,train,47.33326
-20.937704,2.8928738,-0.09762485,-4.5432763,42.700962,15.4802265,9.440195,40.66295,127,train,40.66295
-79.81076,-4.364502,-0.2049713,43.940163,35.0281,-35.54507,17.071608,51.585876,947,train,51.585876
-35.231136,54.503853,-0.16671689,-2.6222496,50.47285,3.5055306,4.146285,58.644684,961,train,58.644684
-29.875692,-3.7008376,-0.12074379,8.61983,49.143547,7.4686637,4.131386,47.84427,1336,train,47.84427
-21.932636,1.3239691,-0.098250024,-3.5248194,42.270775,15.765846,9.358995,41.26405,147,train,41.26405
90.52504,-41.60782,-0.22807744,124.14079,77.92481,-189.2578,30.768406,142.27765,1314,train,142.27765
-25.801317,3.170718,-0.12347239,8.671989,94.83166,1.2509899,-22.512197,41.130722,500,train,41.130722
-29.646183,-7.3854394,-0.10359788,-0.70327866,44.67293,11.412282,8.330756,33.733166,344,train,33.733166
-108.81488,-18.2237,-0.2427936,8.572998,31.256128,-42.788662,47.8737,41.35866,1259,train,41.35866
-40.37642,-11.672254,-0.12290394,0.47257176,62.23107,-3.372209,9.880339,34.12638,325,train,34.12638
-8.028086,-8.536958,-0.08538502,12.19719,30.785093,5.138774,9.403,24.934216,1395,train,24.934216
-51.04554,-4.3610578,-0.13035966,34.571896,10.302416,-56.34432,45.245613,36.774815,547,train,36.774815
-25.247728,-5.409906,-0.10967734,1.2658535,54.13461,14.88996,2.086764,48.23231,177,train,48.23231
-36.393795,-4.349224,-0.14108036,16.508425,53.169857,-0.3435773,6.4860754,50.91025,503,train,50.91025
