coef_dem,coef_w10,coef_d10,coef_t2m,coef_aod_sat,coef_tp,bias,Pred_PM2_5,id,dataset_belong,denormalized_pred_result
-5.2303567,2.8828957,-0.48320654,11.41542,31.876877,17.647768,-1.8970789,40.233353,685,train,40.233353
-31.384136,3.1124735,-0.82580876,65.424934,29.23144,-24.06724,11.522156,48.447845,736,train,48.447845
-12.472456,6.1161604,-0.36524472,12.885032,50.79766,9.835999,-7.8638053,32.789,225,train,32.789
10.322701,-52.001556,-1.0457472,11.438596,121.45127,-56.861675,31.536465,47.634155,414,train,47.634155
1.9202296,1.6882379,-0.5193023,1.8460782,52.119526,20.19933,-4.4812913,26.467283,383,train,26.467283
-29.576508,-0.93325734,-0.82710207,17.674446,-15.918271,-6.3052497,64.73943,60.97683,1042,train,60.97683
-21.625757,-0.03072677,-0.760374,46.03926,-18.50501,1.288995,20.026123,38.538982,359,train,38.538982
3.1293635,-12.954953,-1.306872,6.4205456,92.10022,-37.890503,9.308277,26.811779,919,train,26.811779
-22.043789,2.7202988,-0.80146325,47.34479,-16.975735,-3.5557544,21.404512,39.6738,1161,train,39.6738
-31.895016,-7.943376,-0.8522901,45.091446,-5.531178,-17.409748,56.97507,60.75653,561,train,60.75653
-7.7672195,14.42101,-0.5991651,-26.436634,89.62835,11.870119,-9.63016,33.590736,90,train,33.590736
1.3139986,4.1628585,-0.51965725,6.0713124,52.8497,15.609004,-2.9209185,18.809973,1221,train,18.809973
-16.086823,6.3358917,-0.39353046,4.404907,82.75547,1.4747475,-15.819571,47.656757,1372,train,47.656757
-7.798649,14.482196,-0.59862447,-26.547365,89.99905,11.943428,-9.813651,34.23744,88,train,34.23744
-37.815697,-5.313846,-0.97461087,66.678764,38.130806,-39.47675,20.433886,63.305313,394,train,63.305313
-39.91195,-4.935503,-0.9188972,54.75717,7.5860467,-28.32488,26.584873,53.089317,657,train,53.089317
-9.075634,9.494853,-0.2207472,-3.594209,84.12603,4.14169,-12.8685665,48.369728,29,train,48.369728
-16.93903,2.1483696,-0.765158,38.5064,-2.9871192,0.6647516,17.05733,43.27879,1165,train,43.27879
-17.301935,2.7199912,-0.6058064,34.097546,0.2831095,15.469373,6.965352,40.19279,1114,train,40.19279
-7.186466,14.097667,-0.641349,-27.158064,87.84626,11.863467,-8.387163,29.064072,581,train,29.064072
-5.5029483,2.9721951,-0.3414303,15.851082,34.086006,9.914055,-3.7477176,27.74026,236,train,27.74026
-28.20179,7.0533447,-0.7057133,9.8592005,25.008883,-8.553728,36.023857,59.011406,968,train,59.011406
-0.15696786,-12.615616,-1.008788,3.0908363,82.25288,-25.656233,10.889614,22.939522,600,train,22.939522
-14.174039,0.46207735,-0.2692742,16.479237,37.792736,-0.24528839,11.816342,48.227943,11,train,48.227943
-2.787485,6.1212263,-1.003439,-17.17915,79.04997,-4.9664025,1.3664072,25.666359,898,train,25.666359
-8.875419,8.509945,-0.5297807,13.772145,0.47933522,4.671909,37.66687,37.807842,1287,train,37.807842
-0.6392264,-6.091053,-0.36750326,-6.2759724,31.767897,7.079243,27.79983,28.481483,1274,train,28.481483
-23.742294,-1.4506781,-0.6873692,45.078827,-6.2689104,6.2864394,12.948458,45.874134,432,train,45.874134
-4.7160106,2.8922088,-0.28323337,-0.50657195,60.47119,2.1031752,1.6109016,16.511253,864,train,16.511253
-6.014523,9.001051,-0.6197533,-16.470528,72.51529,5.4531894,-1.0370678,22.55168,854,train,22.55168
1.577547,-6.9544177,-0.40263245,9.540502,63.72169,1.6081725,-5.253478,29.402237,308,train,29.402237
15.522281,-65.26613,-1.3527868,26.00092,152.48265,-79.99606,29.659273,28.809633,755,train,28.809633
-8.44277,15.17667,-0.5661954,-27.126394,95.817825,12.60809,-12.914713,34.238884,876,train,34.238884
-0.785087,-8.458108,-1.0044758,-0.31013346,79.56823,-21.933443,9.417529,25.752243,612,train,25.752243
-23.55075,-1.3399004,-0.68628615,44.98651,-6.8853765,6.8982997,12.926473,45.676662,422,train,45.676662
-34.069733,-5.015303,-0.8812334,54.91976,-11.370355,-12.179842,25.361885,41.966324,1090,train,41.966324
-29.729984,-1.0572497,-0.83114284,17.960789,-16.502983,-6.7327104,65.30381,61.086716,1385,train,61.086716
3.8235288,-15.542102,-1.3432736,8.892275,95.22619,-41.57528,9.879868,21.961678,905,train,21.961678
-29.79775,-4.1670938,-0.8179261,52.967297,-17.26408,-0.97342515,21.638065,36.930626,674,train,36.930626
-3.9221826,5.7504225,-0.8813337,-17.132534,75.95303,-1.3522933,1.6325006,30.483788,597,train,30.483788
-29.190948,-1.1873673,-0.85243493,50.902477,-17.511986,-10.436959,26.553738,43.08156,1181,train,43.08156
-13.344721,9.1281595,-0.34956068,-5.784446,97.30364,5.7383475,-21.255713,42.190273,1374,train,42.190273
-4.660351,7.4627576,-0.817461,-19.23819,76.43965,2.373777,-0.09702366,29.082241,107,train,29.082241
-1.0740632,-4.224289,-1.0135815,-3.8051744,77.49784,-18.561993,7.654358,29.421024,118,train,29.421024
-31.00019,0.65863734,-0.71450406,37.985237,44.845135,-23.547289,6.8528137,43.415596,629,train,43.415596
-40.55022,-3.8286939,-0.9110135,52.314064,12.754574,-33.19606,28.151304,54.121517,1078,train,54.121517
-26.983633,2.7437744,-0.6092955,26.829273,66.60853,-24.549244,-1.5395949,49.194424,943,train,49.194424
-2.7594197,6.05974,-1.0050269,-17.079084,79.041046,-5.110759,1.4192274,25.976889,899,train,25.976889
-16.921791,-2.024863,-0.3903213,34.082546,31.041126,-4.321464,18.591248,34.814476,77,train,34.814476
-11.015212,8.184111,-0.38175255,2.4002085,59.44144,16.39289,-8.50572,38.449055,205,train,38.449055
-17.62099,5.245141,-0.40507,8.027792,82.02888,-3.3410542,-14.889452,46.944458,804,train,46.944458
-19.722744,1.7917957,-0.6386186,38.09573,-1.9615579,12.874056,9.024526,45.596806,1097,train,45.596806
-8.045917,15.316251,-0.6017531,-28.476742,93.78284,13.087643,-11.609575,31.309902,584,train,31.309902
-9.361323,14.414885,-0.40136513,-19.450298,101.67411,9.551312,-18.490223,34.36562,458,train,34.36562
-12.029346,2.5991406,-0.71250623,28.89498,12.21864,3.6397243,12.282159,46.63025,690,train,46.63025
-9.077437,14.415612,-0.27434474,-17.935732,118.302315,12.867483,-30.339098,34.551723,260,train,34.551723
18.667309,-73.28649,-1.530863,35.12952,169.0507,-95.05837,29.463316,47.711544,1308,train,47.711544
-33.823967,2.5740592,-0.8061039,21.289099,4.3536525,-24.165892,49.66322,56.93145,1049,train,56.93145
-18.03282,-0.13897836,-0.41626883,13.849713,25.408676,1.571851,25.996382,53.333313,57,train,53.333313
-15.709067,3.7718134,-0.5708073,30.539774,11.757332,13.490225,2.8864348,39.480225,1108,train,39.480225
-38.312492,-4.356795,-0.8801718,52.449856,7.102675,-25.820122,26.050081,51.508488,662,train,51.508488
3.406979,-6.2646904,-0.42855757,4.8707185,63.60679,6.7059803,-4.9046555,27.551151,520,train,27.551151
-26.255053,-1.2784292,-0.7181513,17.447756,-6.3650284,0.1191498,54.240154,58.81533,470,train,58.81533
-9.756632,2.9732087,-0.49783322,20.913612,34.2267,8.995378,-3.080768,35.670845,508,train,35.670845
-14.921622,6.8803453,-0.39411172,2.8832324,79.98691,5.2794285,-15.131206,45.55075,167,train,45.55075
-26.429054,1.0450028,-0.6233527,31.83795,60.46663,-22.094938,-2.563998,36.544712,993,train,36.544712
-40.607964,-3.733299,-0.91128063,52.182766,12.983475,-33.524452,28.283442,54.3199,1077,train,54.3199
-11.762748,9.468125,-0.38193977,-1.9189391,75.1987,14.573059,-14.074979,39.159004,128,train,39.159004
-8.948216,7.135544,-0.34465697,10.101638,43.134617,14.949214,-5.351803,33.809074,209,train,33.809074
-8.340986,13.483159,-0.509089,-21.231886,88.66686,9.477718,-10.172087,28.45325,871,train,28.45325
-12.301915,9.617703,-0.3820903,-3.298314,83.105064,12.330568,-17.078175,40.926414,807,train,40.926414
-31.85041,-7.90563,-0.8518179,44.729916,-6.012206,-17.278803,57.335976,61.709316,564,train,61.709316
-4.6160345,0.5976908,-0.35921142,16.173437,37.514763,6.1693654,-3.0992477,26.782818,975,train,26.782818
