coef_refl_b01,coef_refl_b02,coef_refl_b03,coef_refl_b04,coef_refl_b05,coef_refl_b07,bias,Pred_SiO3,id,dataset_belong,denormalized_pred_result
-1.4296875,-0.086135305,-0.101598136,2.1523044,0.25631806,-0.19282894,1.2716657,1.3712567,2741,train,1.3712567
4.8662705,-0.25386745,-0.23689829,-0.7588534,1.3039486,-1.2711738,0.6210212,0.9479704,2261,train,0.9479704
2.5276437,0.3765393,-0.32798102,1.1730864,2.1561184,-2.2565913,0.37802368,0.9120166,385,train,0.9120166
1.4594696,-0.7405497,0.1591624,2.7755048,-1.814695,-1.2101474,0.9952563,1.4685721,274,train,1.4685721
1.3319585,0.36249235,-0.31078628,1.3358309,2.3488147,-1.2798373,0.58132404,0.8817405,1005,train,0.8817405
-0.23199223,-0.10005247,-0.086941205,0.791593,1.2541093,-0.90613997,0.97627395,1.0506544,1383,train,1.0506544
-0.25949827,-0.109970436,-0.08228004,0.75440294,1.3306323,-0.8225694,0.98207015,1.0360119,1653,train,1.0360119
0.5658856,-0.48653534,0.008071158,2.988271,-1.1219409,-0.5383796,0.7474892,1.0677438,843,train,1.0677438
-2.6888783,-0.093283966,-0.04908901,2.4768193,0.9552911,-0.38659522,1.1610091,1.0932214,740,train,1.0932214
1.6982136,-0.7582371,0.16509861,2.6308959,-1.8561145,-1.2699708,0.9929254,1.5225716,234,train,1.5225716
4.0587177,0.97253615,-0.6726732,-1.0378009,4.3538656,-1.8409942,0.7118472,1.106977,2552,train,1.106977
-0.37616506,0.7105955,-0.44195512,3.6396487,2.6181297,-1.1946795,0.68841845,1.3969173,2277,train,1.3969173
-0.1289543,-0.060058083,-0.12435129,0.52523696,1.1789827,-0.7784546,1.0094657,1.0426464,2760,train,1.0426464
-3.4471312,0.09183906,-0.05974522,2.1714385,1.1626494,-0.34878814,1.3813057,1.4060042,716,train,1.4060042
4.8272095,-0.986125,0.26921937,0.40498692,-2.3750045,-1.674616,1.0189513,2.0915155,971,train,2.0915155
-0.8267371,0.16591133,-0.15991722,1.443713,1.8564711,-0.7860022,0.9111046,1.2492716,2068,train,1.2492716
2.0929546,-0.7886048,0.17717509,2.2781408,-1.9401121,-1.2928793,1.0183725,1.4297773,2896,train,1.4297773
12.606392,-1.6061451,0.47956705,-6.640602,-3.7927728,-1.8675607,1.1659219,1.1078873,591,train,1.1078873
-2.1482823,0.30862653,-0.24250732,2.1834517,1.3626806,-0.07245099,1.245904,1.2083588,1630,train,1.2083588
0.9364427,-0.42462727,-0.029108787,2.4126205,-0.8221321,-0.5493394,0.7607391,1.2997115,954,train,1.2997115
-2.204425,0.00669122,-0.12266511,2.2063987,0.73180884,-0.33189625,1.3243477,1.2713717,732,train,1.2713717
-1.7211128,0.57029396,-0.3686277,3.4770157,2.1206715,-0.88107187,0.8161197,1.2424893,2656,train,1.2424893
-1.4358364,-0.13272345,-0.074344374,2.298986,0.121309355,-0.1946817,1.2424213,1.3559179,1626,train,1.3559179
-1.8929458,0.0044287993,-0.08358871,1.4148973,1.3842465,-0.44328332,1.1385567,1.0214527,1432,train,1.0214527
-0.114947006,0.6389869,-0.39484802,3.571141,2.543679,-1.426676,0.5493481,1.0847981,383,train,1.0847981
-1.2444507,-0.45125148,0.10401097,3.712906,-1.2194349,-0.5726587,1.0795051,1.1601756,2785,train,1.1601756
8.045208,1.0677419,-0.69793236,-4.7049255,4.7970614,-3.063739,0.65345275,1.0777233,2523,train,1.0777233
-2.2831519,0.08052405,-0.0920434,1.6483554,1.6199116,-0.4567305,1.1314092,1.1316026,1705,train,1.1316026
0.47815448,0.29517233,-0.27375516,1.2320935,2.2284667,-0.89475197,0.7447286,1.2352959,1854,train,1.2352959
-1.434455,0.19803034,-0.17521316,1.5595895,1.9573922,-0.48895708,1.0026922,1.1214919,1747,train,1.1214919
